x,y
500,1.1103814
500.13684,0.98576605
500.27368,0.95169842
500.41052,0.95724267
500.54733,0.89383256
500.68417,0.88333589
500.82101,0.87283838
500.95786,0.88971424
501.0947,0.84986639
501.23154,0.83587819
501.36838,0.8218956
501.50519,0.81216645
501.64203,0.80539918
501.77887,0.79863125
501.91571,0.78754777
502.05255,0.77833134
502.18939,0.76199663
502.32623,0.74566263
502.46304,0.73451763
502.59988,0.7101087
502.73672,0.69419521
502.87357,0.6721471
503.01041,0.66917706
503.14725,0.66520798
503.28406,0.66124076
503.4209,0.66010445
503.55774,0.65410525
503.69458,0.64909881
503.83142,0.64409029
503.96826,0.6346519
504.1051,0.62416142
504.24191,0.61207199
504.37875,0.59331214
504.51559,0.59415609
504.65244,0.5867396
504.78928,0.57932454
504.92612,0.56734496
505.06296,0.56952548
505.19977,0.56655276
505.33661,0.55815959
505.47345,0.55694062
505.61029,0.54828054
505.74713,0.53962177
505.88397,0.52651358
506.02081,0.52726072
506.15762,0.5249902
506.29446,0.52272135
506.4313,0.51650357
506.56815,0.529854
506.70499,0.53498799
506.84183,0.53684658
506.97867,0.54475474
507.11548,0.54760796
507.25232,0.55046219
507.38916,0.54626077
507.526,0.55712926
507.66284,0.56048477
507.79968,0.56384236
507.93649,0.56331283
508.07333,0.5768593
508.21017,0.58486587
508.34702,0.5905416
508.48386,0.6012184
508.6207,0.60788918
508.75754,0.61455917
508.89435,0.61641341
509.03119,0.62207323
509.16803,0.62329888
509.30487,0.62452656
509.44171,0.62441152
509.57855,0.62531924
509.71539,0.62622768
509.8522,0.62447536
509.98904,0.62116849
510.12589,0.61381865
510.26273,0.60646945
510.39957,0.59745473
510.53641,0.59339911
510.67325,0.58790445
510.81006,0.58109951
510.9469,0.57707316
511.08374,0.56837982
511.22058,0.55968499
511.35742,0.55049169
511.49426,0.53829771
511.6311,0.52552497
511.76791,0.51275134
511.90475,0.4985919
512.04163,0.4841629
512.17841,0.47060323
512.31525,0.45595852
512.45209,0.43815899
512.58893,0.42177477
512.72577,0.40538982
512.86261,0.3904843
512.99945,0.37949145
513.13629,0.36903891
513.27313,0.3581841
513.40997,0.35027209
513.54681,0.34460783
513.68365,0.33894289
513.8205,0.33267483
513.95734,0.32915303
514.09412,0.32325816
514.23096,0.31736445
514.3678,0.31255487
514.50464,0.31357661
514.64148,0.31567898
514.77832,0.31714341
514.91516,0.32029295
515.052,0.32237434
515.18884,0.32445505
515.32568,0.32584897
515.46252,0.32758239
515.59937,0.32458466
515.73621,0.32158619
515.87299,0.31446537
516.00983,0.30117139
516.14667,0.28739071
516.28351,0.27419499
516.42035,0.26734021
516.55719,0.26044008
516.69403,0.25353995
516.83087,0.24683221
516.96771,0.23789133
517.10455,0.22996831
517.24139,0.22216101
517.37823,0.21844482
517.51508,0.21955529
517.65192,0.22066642
517.7887,0.22268757
517.92554,0.22528715
518.06238,0.23110217
518.19922,0.23691924
518.33606,0.24761945
518.4729,0.25956205
518.60974,0.27493128
518.74658,0.29150945
518.88342,0.30854076
519.02026,0.32638496
519.1571,0.3442305
519.29395,0.36455107
519.43079,0.38074073
519.56763,0.39966127
519.70441,0.41858122
519.84125,0.4408392
519.97809,0.45303863
520.11493,0.46731567
520.25177,0.48170844
520.38861,0.48692608
520.52545,0.49547273
520.66229,0.50401938
520.79913,0.51098615
520.93597,0.51164812
521.07281,0.51542586
521.20966,0.52111101
521.3465,0.52391398
521.48328,0.5184679
521.62012,0.5130229
521.75696,0.50749701
521.8938,0.50282586
522.03064,0.50267738
522.16748,0.50252813
522.30432,0.50048596
522.44116,0.49498007
522.578,0.49128333
522.71484,0.48884502
522.85168,0.47786391
